timestamp,open,high,low,close,volume
15:29,1266.8,1266.95,1266.15,1266.5,14999
15:28,1266.85,1267.0,1265.65,1266.15,48631
15:27,1266.9,1266.95,1266.15,1266.85,46759
15:26,1267.0,1267.25,1266.85,1266.95,68365
15:25,1266.9,1267.0,1266.8,1267.0,42657
15:24,1267.0,1267.0,1266.35,1266.85,41464
15:23,1267.35,1267.4,1267.0,1267.0,73263
15:22,1267.35,1267.4,1267.25,1267.35,42874
15:21,1267.2,1267.35,1267.15,1267.35,40332
15:20,1267.9,1268.0,1267.1,1267.2,68195
15:19,1267.6,1268.4,1267.35,1267.85,63442
15:18,1268.5,1268.65,1267.35,1267.35,68223
15:17,1269.0,1269.15,1268.05,1268.5,88120
15:16,1269.0,1269.4,1268.2,1269.0,71807
15:15,1267.95,1269.0,1267.8,1268.95,49966
15:14,1267.7,1267.95,1267.6,1267.95,36737
15:13,1267.6,1267.95,1267.55,1267.65,51405
15:12,1267.45,1267.7,1267.3,1267.6,38644
15:11,1267.35,1267.7,1266.6,1267.4,71776
15:10,1265.85,1267.35,1265.85,1267.3,45124
15:09,1265.4,1266.2,1265.0,1265.85,74833
15:08,1265.25,1265.4,1265.15,1265.35,42395
15:07,1265.2,1265.35,1264.9,1265.2,36087
15:06,1264.85,1265.6,1264.85,1264.95,58130
15:05,1265.0,1265.4,1264.3,1264.75,54787
15:04,1264.2,1265.0,1264.2,1264.9,44862
15:03,1264.25,1264.35,1264.0,1264.2,48916
15:02,1265.95,1266.0,1264.0,1264.25,60942
15:01,1264.9,1266.0,1264.8,1265.95,39596
15:00,1263.65,1265.45,1263.6,1264.9,91653
14:59,1263.25,1264.0,1263.2,1263.65,19382
14:58,1263.35,1263.9,1263.0,1263.3,22952
14:57,1264.1,1264.45,1263.05,1263.3,24258
14:56,1264.4,1264.5,1264.0,1264.05,18323
14:55,1264.5,1264.75,1264.0,1264.0,16809
14:54,1264.75,1265.1,1264.4,1264.55,19355
14:53,1264.5,1265.35,1264.4,1264.75,22425
14:52,1264.0,1264.7,1263.75,1264.5,23517
14:51,1264.5,1264.65,1264.0,1264.0,9667
14:50,1264.0,1264.55,1263.85,1264.5,21566
14:49,1264.95,1265.65,1264.0,1264.0,20326
14:48,1264.8,1265.0,1264.55,1264.85,23518
14:47,1264.0,1265.0,1264.0,1264.65,17012
14:46,1263.55,1264.6,1263.4,1264.45,24482
14:45,1263.6,1263.95,1263.35,1263.55,17875
14:44,1264.1,1264.15,1263.55,1263.6,20141
14:43,1264.7,1264.85,1264.0,1264.0,17022
14:42,1265.2,1265.2,1264.7,1264.7,8938
14:41,1265.5,1265.5,1265.0,1265.2,9423
14:40,1265.6,1265.9,1265.15,1265.45,16404
14:39,1265.3,1265.9,1265.25,1265.6,16221
